horizon,feature,gain,split,block,gain_pct_horizon
1,route_id,3084957.480676174,52506,ids_time,0.07422162525738513
1,office_from_id,393390.9233317375,5632,ids_time,0.009464672973316046
1,hour,344830.2683773041,14836,ids_time,0.008296342208027462
1,minute,1105.4214243888855,65,ids_time,2.659556095226749e-05
1,dow,43239.97402858734,2307,ids_time,0.0010403194107509832
1,target_2h,2104061.0926833153,5072,current_target,0.05062203771623977
1,status_sum,7670.861123561859,551,status_agg,0.0001845548223211366
1,status_max,9915.224242687225,748,status_agg,0.00023855241529045922
1,status_1,4412.47598361969,278,raw_status,0.00010616066541106731
1,status_2,6320.538321971893,435,raw_status,0.00015206712886542469
1,status_3,2955.7141909599304,189,raw_status,7.111213442114574e-05
1,status_4,9290.642554283142,487,raw_status,0.000223525476245195
1,status_5,42761.41818189621,1318,raw_status,0.001028805737405296
1,status_6,79464.52647972107,1063,raw_status,0.0019118533537585967
1,status_7,12544.44759941101,945,raw_status,0.0003018094397139998
1,status_8,56188.40976381302,1163,raw_status,0.0013518484839486488
1,target_lag_1,87456.07572364807,1462,short_lags,0.0021041236773932295
1,target_lag_2,47949.02011299133,1325,short_lags,0.0011536153170918972
1,target_lag_3,1094014.2291193008,4390,short_lags,0.026321112899793407
1,target_lag_4,573785.0703902245,4407,short_lags,0.013804812785766866
1,target_lag_6,53525.53955364227,1591,short_lags,0.0012877819429715502
1,target_lag_8,33442.55985403061,1655,short_lags,0.0008046014120718064
1,target_lag_12,16540.731511592865,1019,short_lags,0.00039795685464921835
1,target_lag_24,32786.79708528519,1089,short_lags,0.0007888242810142659
1,target_lag_48,17099.733308792114,1162,mid_lags,0.0004114059936308141
1,target_lag_96,14757.376429080963,1075,mid_lags,0.0003550507486609959
1,target_lag_144,24930.447452545166,1194,mid_lags,0.0005998067525767536
1,target_lag_192,18902.39862537384,1163,long_lags,0.0004547766885042126
1,target_lag_240,19678.644615650177,1158,long_lags,0.00047345255011939765
1,target_lag_288,17276.923510551453,1087,long_lags,0.00041566904906565905
1,target_lag_336,16261.989931583405,1109,long_lags,0.00039125055376024176
1,target_lag_672,14449.864047527313,1112,long_lags,0.00034765224515206645
1,target_roll_mean_2,211729.49007463455,1060,roll_mean,0.005094043262084866
1,target_roll_std_2,65868.62198162079,1447,roll_std,0.0015847466966930949
1,target_roll_mean_4,41044.750448703766,710,roll_mean,0.0009875040760428428
1,target_roll_std_4,299003.702229023,2442,roll_std,0.0071937914465352885
1,target_roll_mean_8,25547.060149669647,1147,roll_mean,0.0006146419640250772
1,target_roll_std_8,27256.09867811203,1384,roll_std,0.0006557600727844499
1,target_roll_mean_16,15625.546222686768,804,roll_mean,0.00037593822392910495
1,target_roll_std_16,10185.521165847778,680,roll_std,0.0002450555444469264
1,target_roll_mean_48,887056.3342609406,2813,roll_mean,0.02134187042645219
1,target_roll_std_48,261435.8562898636,1027,roll_std,0.00628993892976987
1,target_roll_mean_96,24336198.16024971,2613,roll_mean,0.5855095868756067
1,target_roll_std_96,5316076.009493351,1204,roll_std,0.12790056390984936
1,same_slot_mean_7d,1444706.8345036507,2662,same_slot,0.03475849827719839
1,future_hour_1,315174.7781820297,15211,future_time,0.007582854682223614
1,future_minute_1,166.20023918151855,12,future_time,3.998645669344741e-06
1,future_dow_1,21090.905740737915,1169,future_time,0.0005074304304138321
2,route_id,3447188.8918275833,51123,ids_time,0.10101452062848236
2,office_from_id,450065.2913389206,5528,ids_time,0.013188464886244252
2,hour,551110.8001766205,17432,ids_time,0.016149446705691312
2,minute,7064.893485069275,189,ids_time,0.00020702573925596637
2,dow,66657.26842880249,2432,ids_time,0.001953287802911711
2,target_2h,903231.3767995834,3584,current_target,0.026467793731965162
2,status_sum,17061.581179618835,306,status_agg,0.0004999631578382724
2,status_max,6351.971622467041,390,status_agg,0.00018613467048771292
2,status_1,4611.326044082642,262,raw_status,0.00013512775319883522
2,status_2,7950.288230895996,489,raw_status,0.00023297085819873667
2,status_3,5556.22395324707,243,raw_status,0.00016281651999759818
2,status_4,13757.107989788055,525,raw_status,0.00040313069936992924
2,status_5,95671.81310081482,1334,raw_status,0.0028035140055562525
2,status_6,91894.05114841461,688,raw_status,0.0026928125544187984
2,status_7,7894.291837692261,454,raw_status,0.00023132997079920676
2,status_8,62446.78560638428,708,raw_status,0.001829906138237239
2,target_lag_1,118699.80741024017,1431,short_lags,0.0034783136406202797
2,target_lag_2,857965.5498671532,3719,short_lags,0.02514134892377042
2,target_lag_3,73366.02781772614,1424,short_lags,0.0021498775851805517
2,target_lag_4,293198.55457782745,3338,short_lags,0.008591728613960885
2,target_lag_6,124209.15082120895,2430,short_lags,0.0036397563990824217
2,target_lag_8,57522.2483291626,1792,short_lags,0.001685600215937777
2,target_lag_12,16588.091116905212,879,short_lags,0.0004860882663808422
2,target_lag_24,32121.723256587982,976,short_lags,0.0009412772488962001
2,target_lag_48,18628.11613559723,1000,mid_lags,0.0005458680335475994
2,target_lag_96,14693.637166023254,859,mid_lags,0.00043057423343801184
2,target_lag_144,32898.949387550354,953,mid_lags,0.0009640526544520791
2,target_lag_192,21722.346885681152,858,long_lags,0.0006365396636038007
2,target_lag_240,23007.034355163574,968,long_lags,0.0006741854361330757
2,target_lag_288,17744.661452293396,893,long_lags,0.0005199797651261926
2,target_lag_336,15714.914173603058,876,long_lags,0.0004605011711797005
2,target_lag_672,15912.844197273254,1002,long_lags,0.0004663012033469047
2,target_roll_mean_2,87285.41705846786,919,roll_mean,0.0025577636847581514
2,target_roll_std_2,78830.9622592926,1051,roll_std,0.0023100190077146236
2,target_roll_mean_4,23497.39294528961,453,roll_mean,0.000688554633607305
2,target_roll_std_4,39757.54229545593,1155,roll_std,0.0011650330754613503
2,target_roll_mean_8,6295.310125350952,375,roll_mean,0.00018447429325023598
2,target_roll_std_8,9550.509160041809,654,roll_std,0.0002798628490729675
2,target_roll_mean_16,12514.59475326538,680,roll_mean,0.00036672077728546235
2,target_roll_std_16,10999.191089630127,725,roll_std,0.0003223142247453129
2,target_roll_mean_48,97481.05082511902,1957,roll_mean,0.002856530909230093
2,target_roll_std_48,136313.9474477768,777,roll_std,0.003994468678249043
2,target_roll_mean_96,20641213.759509087,2081,roll_mean,0.6048587352001517
2,target_roll_std_96,4662688.367996216,950,roll_std,0.13663284638963621
2,same_slot_mean_7d,683474.744936943,2009,same_slot,0.02002816668537024
2,future_hour_2,123806.95387125015,4099,future_time,0.003627970641651303
2,future_minute_2,2012.1011028289795,44,future_time,5.896150014876411e-05
2,future_dow_2,37447.421555519104,1450,future_time,0.0010973385723571365
3,route_id,2666852.334216118,33372,ids_time,0.1272794066676038
3,office_from_id,381135.0062198639,3713,ids_time,0.01819022254420275
3,hour,332818.8732728958,7097,ids_time,0.015884264822036344
3,minute,37.584900856018066,2,ids_time,1.7937940617251373e-06
3,dow,63033.00591468811,1552,ids_time,0.0030083418906863653
3,target_2h,317899.01591968536,1891,current_target,0.015172192928471946
3,status_sum,2541.951114654541,109,status_agg,0.00012131831429143726
3,status_max,6504.885963439941,140,status_agg,0.00031045514415796113
3,status_1,5169.6526737213135,165,raw_status,0.0002467291932690555
3,status_2,5537.172969818115,243,raw_status,0.00026426963396962867
3,status_3,12338.429684638977,209,raw_status,0.0005888695033174393
3,status_4,21023.252584457397,444,raw_status,0.0010033653085480736
3,status_5,109524.77734375,1054,raw_status,0.0052272293058218565
3,status_6,150073.17015647888,463,raw_status,0.007162460331669433
3,status_7,3207.3696908950806,157,raw_status,0.00015307638371390197
3,status_8,69762.52028179169,434,raw_status,0.0033295177521379606
3,target_lag_1,318546.67302417755,1752,short_lags,0.015203103305820623
3,target_lag_2,50502.83492946625,381,short_lags,0.0024103212549051044
3,target_lag_3,14569.590462684631,374,short_lags,0.0006953548967403009
3,target_lag_4,57173.39149475098,930,short_lags,0.002728683269508994
3,target_lag_6,15161.063091278076,564,short_lags,0.0007235837882546973
3,target_lag_8,9094.593156814575,451,short_lags,0.00043405268676897143
3,target_lag_12,9860.59208202362,404,short_lags,0.00047061109964310866
3,target_lag_24,18723.10276699066,504,short_lags,0.0008935873128722027
3,target_lag_48,13299.392482757568,512,mid_lags,0.0006347328506070168
3,target_lag_96,10545.949090003967,469,mid_lags,0.0005033207597214059
3,target_lag_144,24193.39832496643,539,mid_lags,0.0011546651250864432
3,target_lag_192,20014.248744010925,501,long_lags,0.0009552091326362532
3,target_lag_240,23315.463128089905,565,long_lags,0.0011127643908322928
3,target_lag_288,16201.173265457153,511,long_lags,0.0007732245591890067
3,target_lag_336,14614.885507583618,521,long_lags,0.0006975166686411136
3,target_lag_672,10078.538152694702,486,long_lags,0.000481012892875018
3,target_roll_mean_2,16994.48424243927,218,roll_mean,0.0008110864794602168
3,target_roll_std_2,183327.80724716187,819,roll_std,0.008749586256694726
3,target_roll_mean_4,6578.107755661011,245,roll_mean,0.00031394976069501647
3,target_roll_std_4,11764.925828933716,437,roll_std,0.0005614981976252534
3,target_roll_mean_8,5125.214401245117,255,roll_mean,0.0002446083120783217
3,target_roll_std_8,6119.574769973755,342,roll_std,0.00029206560700303734
3,target_roll_mean_16,10134.228536605835,428,roll_mean,0.0004836707974505196
3,target_roll_std_16,7452.688079833984,384,roll_std,0.00035569037876962626
3,target_roll_mean_48,43351.97472000122,1018,roll_mean,0.002069036050266576
3,target_roll_std_48,51890.430975914,466,roll_std,0.0024765462945221164
3,target_roll_mean_96,12474154.895101547,1270,roll_mean,0.5953471864031769
3,target_roll_std_96,2675297.386827469,597,roll_std,0.12768245908706422
3,same_slot_mean_7d,317643.84352970123,1255,same_slot,0.015160014455004017
3,future_hour_3,323072.5199365616,7524,future_time,0.015419105932694964
3,future_minute_3,0.0,0,future_time,0.0
3,future_dow_3,46478.174364089966,1175,future_time,0.0022182384754323645
4,route_id,2678661.880159378,29545,ids_time,0.0903210470228033
4,office_from_id,420264.67266082764,3282,ids_time,0.01417078637008234
4,hour,722239.8901853561,8852,ids_time,0.02435300385104764
4,minute,6405.056933403015,87,ids_time,0.00021597031441355528
4,dow,108331.77132606506,1554,ids_time,0.0036528085476106894
4,target_2h,102281.25180149078,1230,current_target,0.0034487927804325836
4,status_sum,8129.10792350769,261,status_agg,0.0002741031051552109
4,status_max,2741.936798095703,106,status_agg,9.245459619547857e-05
4,status_1,28163.565306663513,311,raw_status,0.0009496393424024069
4,status_2,9627.937831878662,318,raw_status,0.0003246417295466939
4,status_3,27302.69256877899,445,raw_status,0.0009206118165265055
4,status_4,54739.8511762619,681,raw_status,0.0018457576556165545
4,status_5,379646.0199947357,2009,raw_status,0.012801177437864767
4,status_6,81489.69879055023,411,raw_status,0.0027477282485154253
4,status_7,4677.747004508972,137,raw_status,0.00015772763643087862
4,status_8,97773.58964061737,405,raw_status,0.003296800187037058
4,target_lag_1,11050.95209312439,351,short_lags,0.00037262394744291
4,target_lag_2,11905.739930152893,353,short_lags,0.00040144629825718226
4,target_lag_3,7178.119772911072,259,short_lags,0.0002420370030075762
4,target_lag_4,12906.411578178406,389,short_lags,0.00043518766428965846
4,target_lag_6,8253.272630691528,308,short_lags,0.00027828978001671184
4,target_lag_8,10337.323285102844,429,short_lags,0.0003485612982509537
4,target_lag_12,10465.231590270996,393,short_lags,0.0003528742024406428
4,target_lag_24,14913.7152967453,466,short_lags,0.0005028713741660767
4,target_lag_48,13465.330881118774,507,mid_lags,0.0004540337071652997
4,target_lag_96,11512.85606098175,424,mid_lags,0.0003881987575038132
4,target_lag_144,21386.524329185486,438,mid_lags,0.0007211262025634072
4,target_lag_192,24952.078521728516,405,long_lags,0.000841352122181105
4,target_lag_240,20729.08062839508,448,long_lags,0.0006989580432097516
4,target_lag_288,23571.394289016724,489,long_lags,0.0007947972186189634
4,target_lag_336,21466.689160346985,477,long_lags,0.0007238292579727306
4,target_lag_672,10199.200978279114,435,long_lags,0.0003439039910103766
4,target_roll_mean_2,12274.49340724945,244,roll_mean,0.0004138801931027231
4,target_roll_std_2,6851.760118484497,217,roll_std,0.00023103257355265198
4,target_roll_mean_4,8650.957500457764,230,roll_mean,0.00029169920435968876
4,target_roll_std_4,9606.246074676514,361,roll_std,0.0003239103112826815
4,target_roll_mean_8,9636.01648902893,356,roll_mean,0.0003249141315164069
4,target_roll_std_8,10770.004293441772,471,roll_std,0.00036315074755380083
4,target_roll_mean_16,18916.322638511658,528,roll_mean,0.0006378341660761877
4,target_roll_std_16,13290.797441482544,518,roll_std,0.00044814866317180484
4,target_roll_mean_48,1601517.1078681946,823,roll_mean,0.05400110520816481
4,target_roll_std_48,393544.87620925903,762,roll_std,0.013269829063892478
4,target_roll_mean_96,18106851.923592567,1425,roll_mean,0.6105398505646535
4,target_roll_std_96,3749064.124774933,738,roll_std,0.1264136394419269
4,same_slot_mean_7d,520050.6536512375,1304,same_slot,0.017535441815403088
4,future_hour_4,151074.95275115967,2151,future_time,0.005094053867893696
4,future_minute_4,2210.642924308777,18,future_time,7.454004740054776e-05
4,future_dow_4,76035.7621011734,1229,future_time,0.002563828490270728
5,route_id,2296434.649998665,24048,ids_time,0.09326339696184278
5,office_from_id,448216.69987106323,2788,ids_time,0.01820309234796924
5,hour,467589.0016441345,5032,ids_time,0.018989845269646158
5,minute,152.08680152893066,7,ids_time,6.176588453609122e-06
5,dow,91756.07179641724,1321,ids_time,0.003726421279879914
5,target_2h,28369.01915359497,542,current_target,0.001152129930952482
5,status_sum,6167.567704200745,136,status_agg,0.00025047885211375374
5,status_max,1805.1680011749268,74,status_agg,7.331194897119819e-05
5,status_1,39429.41286087036,253,raw_status,0.0016013174960662956
5,status_2,11814.250376701355,283,raw_status,0.0004798033868238052
5,status_3,35490.815353393555,418,raw_status,0.0014413621571181796
5,status_4,61765.17636966705,613,raw_status,0.0025084232909418254
5,status_5,304151.2681274414,1592,raw_status,0.01235226983525699
5,status_6,17835.853302001953,243,raw_status,0.0007243542796477007
5,status_7,1896.6938934326172,67,raw_status,7.70290221402173e-05
5,status_8,21804.950819969177,200,raw_status,0.0008855482928971774
5,target_lag_1,5321.772794723511,203,short_lags,0.00021612921085967886
5,target_lag_2,7701.025684356689,238,short_lags,0.0003127560435538292
5,target_lag_3,7037.467531204224,184,short_lags,0.00028580744850246917
5,target_lag_4,8165.476437568665,240,short_lags,0.00033161843746782997
5,target_lag_6,6808.4481019973755,269,short_lags,0.00027650645230904155
5,target_lag_8,8752.673983573914,348,short_lags,0.0003554658558248641
5,target_lag_12,7112.412979125977,282,short_lags,0.0002888511523849261
5,target_lag_24,11539.239233016968,382,short_lags,0.0004686345632466212
5,target_lag_48,12507.604079246521,450,mid_lags,0.0005079620464205287
5,target_lag_96,10339.080926895142,331,mid_lags,0.00041989342422881474
5,target_lag_144,17884.132557868958,321,mid_lags,0.0007263150092530258
5,target_lag_192,22548.545804023743,304,long_lags,0.0009157473643912242
5,target_lag_240,22581.11430454254,349,long_lags,0.000917070044743717
5,target_lag_288,27074.399097442627,409,long_lags,0.0010995524869517265
5,target_lag_336,14691.892984390259,362,long_lags,0.0005966709514354778
5,target_lag_672,6542.708511352539,271,long_lags,0.00026571416743788204
5,target_roll_mean_2,5937.292988777161,190,roll_mean,0.000241126875912368
5,target_roll_std_2,3829.6956930160522,130,roll_std,0.00015553259033999653
5,target_roll_mean_4,6247.643292427063,226,roll_mean,0.0002537309025788991
5,target_roll_std_4,6417.451793670654,239,roll_std,0.0002606272092771916
5,target_roll_mean_8,8523.874075889587,245,roll_mean,0.0003461737748961912
5,target_roll_std_8,6890.351606369019,305,roll_std,0.0002798327385766621
5,target_roll_mean_16,17486.071327209473,410,roll_mean,0.0007101488437711834
5,target_roll_std_16,9530.5568151474,371,roll_std,0.0003870574342357205
5,target_roll_mean_48,760368.0139923096,637,roll_mean,0.030880262116796585
5,target_roll_std_48,194745.34220981598,564,roll_std,0.007909048122486108
5,target_roll_mean_96,15371161.708144188,1122,roll_mean,0.6242575882366878
5,target_roll_std_96,3128295.0633296967,584,roll_std,0.12704712686044004
5,same_slot_mean_7d,495498.7363100052,1237,same_slot,0.02012332262039259
5,future_hour_5,487005.32960510254,5002,future_time,0.01977838619423382
5,future_minute_5,34.76039981842041,2,future_time,1.411698332813257e-06
